Source,Full Paragraph Text,claude3.7: Interaction Present,claude3.7: Confidence,claude3.7: Detected Scales,claude3.7: Scale Explanations,claude3.7: Relationship Type,claude3.7: Summary,4o: Interaction Present,4o: Confidence,4o: Detected Scales,4o: Scale Explanations,4o: Relationship Type,4o: Summary,o4_mini: Interaction Present,o4_mini: Confidence,o4_mini: Detected Scales,o4_mini: Scale Explanations,o4_mini: Relationship Type,o4_mini: Summary,gemini2.5: Interaction Present,gemini2.5: Confidence,gemini2.5: Detected Scales,gemini2.5: Scale Explanations,gemini2.5: Relationship Type,gemini2.5: Summary,Interaction Present Disagreement,Scale Disagreement
Nestle_Annual_Report_2014_page_14.pdf,"United for Healthier Kids is a platform, created by Nestlé in 2014, where society can engage and collaborate to find ways to improve the health and wellness of children, from conception to the age of 12 years. In Mexico, a TV series was launched which supports and encourages five families looking to change their eating and lifestyle habits over six months. The platform has also been launched in the Philippines.",No,0.9,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,1.0,"Transnational / Cross-border, National, Local / Site-specific","Transnational / Cross-border: The 'United for Healthier Kids' is a platform created by a multinational company (Nestlé) and explicitly 'launched in Mexico' and 'in the Philippines', indicating its operation across multiple countries.; National: 'Mexico' is identified as a country where a TV series was launched, representing a national-level implementation of the platform's initiatives.; Local / Site-specific: 'Five families' are specific, individual entities within Mexico, directly targeted and supported by the TV series at a localized level.",Causal Chain,"[Transnational -> National -> Local / Site-specific] The transnational United for Healthier Kids platform initiated a TV series at the national level in Mexico, which in turn supported and encouraged five specific local families to change their habits.",Yes,N/A
Nestle_Annual_Report_2014_page_14.pdf,"Through innovation and renovation we continue to make our products tastier and healthier. In line with the recommendations from public health authorities, we are reducing the amount of salt, sugar and saturated fats in our products as part of our contribution towards the fight against non-communicable diseases in society. Our reduction targets are in cluded in our public nutrition commitments (detailed in the Nestlé in society report) so our progress can be measured. We are also ensuring that whole grains are the primary ingredient in our breakfast cereals for children and teenagers.",No,0.9,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"National, Local / Site-specific","National: The 'public health authorities' are typically governmental bodies operating at a national level, issuing health recommendations and guidelines that companies are expected to align with.; Local / Site-specific: The 'reducing the amount of salt, sugar and saturated fats in our products' refers to the concrete reformulation and manufacturing changes, which are implemented at specific company R&D facilities and production sites.",Direct Causal Link,[National -> Local / Site-specific] National public health authorities' recommendations directly influence the company's site-specific product reformulation efforts.,Yes,N/A
Nestle_Annual_Report_2014_page_14.pdf,"We want to help people who buy our products to make informed decisions by giving them better nutritional information on our product labels. We are enhancing our portion guidance and have committed to print GDAs (Guideline Daily Amounts) on the front of all relevant packaging. These make it easier for people to see how much salt, sugar or fat is in the product, and how the amounts compare to reference daily guidelines. Nestlé Portion Guidance is a voluntary initiative",No,0.95,N/A,N/A,N/A,N/A,No,1.0,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"Transnational / Cross-border, Local / Site-specific","Transnational / Cross-border: Nestlé is a global company, and its 'Portion Guidance' is described as a 'voluntary initiative,' implying a company-wide policy that applies across multiple countries where its products are sold.; Local / Site-specific: The 'people who buy our products' make 'informed decisions' at the point of purchase and consumption, which are actions occurring at specific, localized sites (e.g., individual stores or homes).",Direct Causal Link,[Transnational -> Local] A transnational company's voluntary initiative to enhance product labeling with nutritional information directly aims to influence the purchasing decisions of local consumers.,Yes,N/A
Nestle_Annual_Report_2014_page_15.pdf,"In parts of the world where people find it difficult to get essential vitamins and minerals in their daily diets, we fortify foods to help them and their families stay healthy. We are on track to deliver our commitment of 200 billion servings of micronutrient fortified foods and beverages annually around the world by next year. In 2014 we continued to extend the reach of our microfortification programmes, focusing on categories for children and women of child-bearing age, such as fortified infant cereals and growing-up milks.",No,0.9,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,1.0,"Transnational / Cross-border, Local / Site-specific","Transnational / Cross-border: The entity (implied global company/organization) describes its actions ('we fortify foods', 'deliver our commitment... around the world', 'extend the reach of our microfortification programmes') as having a global or multi-country reach.; Local / Site-specific: The beneficiaries of the fortification are described as 'people in parts of the world where people find it difficult to get essential vitamins and minerals' and 'children and women of child-bearing age', referring to specific populations and their daily diets at a very granular, site-specific level.",Direct Causal Link,[Transnational -> Local / Site-specific] A transnational entity directly fortifies and delivers food products globally to improve the health of local populations facing nutrient deficiencies.,Yes,N/A
Nestle_Annual_Report_2014_page_17.pdf,"Supporting parents is part of Nestlé’s commitment to helping future generations develop their full potential and live healthier lives by providing high-quality, science-driven nutrition for infants and children in the first 1000 days of life.",No,0.95,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"Transnational / Cross-border, Local / Site-specific","Transnational / Cross-border: Nestlé is a global corporation, and its 'commitment' and 'providing high-quality, science-driven nutrition' represent a strategy and action at a multi-country or global level.; Local / Site-specific: 'Parents', 'infants and children' refer to individuals or specific family units who are the direct beneficiaries at a household or community level.",Direct Causal Link,"[Transnational -> Local] Nestlé's transnational commitment and provision of high-quality nutrition directly aim to help parents, infants, and children at the local level achieve their full potential and healthier lives.",Yes,N/A
Nestle_Annual_Report_2014_page_18.pdf,"In South East Asia we launched new premium noodles designed for growing urban populations. Maggi ‘so Tender from the Pan’, the unique seasoning paper that can be used to cook meat without oil, was rolled out to new markets.",No,0.9,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"Local / Site-specific, Transnational / Cross-border","Local / Site-specific: Refers to 'urban populations,' which represent specific city-level or neighborhood-level demographics.; Transnational / Cross-border: Refers to 'South East Asia,' a geopolitical region encompassing multiple countries.",Direct Causal Link,"[Local -> Transnational] The characteristics and growth of local urban populations directly influenced the design of premium noodles, which were subsequently launched across the transnational South East Asia region.",Yes,N/A
Nestle_Annual_Report_2014_page_19.pdf,"Nestlé Skin Health is supported by five research and development centres around the world in France, Japan, Sweden, Switzerland, and the United States.",No,0.95,N/A,N/A,N/A,N/A,No,1.0,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"Local / Site-specific, Transnational / Cross-border","Local / Site-specific: The 'five research and development centres' are specific physical facilities.; Transnational / Cross-border: 'Nestlé Skin Health' is a global entity, indicated by its operation 'around the world' and having centers in multiple countries.",Convergent Influence,[Local -> Transnational] Multiple local research and development centers located in various countries provide support to the transnational Nestlé Skin Health.,Yes,N/A
Nestle_Annual_Report_2014_page_22.pdf,We market our breast-milk substitutes in line with the aims and principles of the World Health Organization’s International Code of Marketing of Breast-Milk Substitutes as imple mented by governments. Our marketing standards are the strictest in the industry. We are the only breast-milk substitute manufacturer to be included in the FTSE4Good responsible investment index (see the Nestlé in society report).,Yes,0.85,"National, Transnational / Cross-border","National: The text mentions 'governments' implementing the WHO Code, which refers to national-level regulatory actions.; Transnational / Cross-border: The World Health Organization's International Code of Marketing of Breast-Milk Substitutes is a transnational framework that sets global standards.",Direct Causal Link,"[Transnational -> National] The WHO's International Code (transnational scale) directly influences national-level implementation by governments, which in turn shapes the company's marketing practices. The transnational framework provides principles that are then implemented through national regulatory mechanisms.",No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,1.0,"Transnational / Cross-border, National, Local / Site-specific","Transnational / Cross-border: The 'World Health Organization’s International Code of Marketing of Breast-Milk Substitutes' represents a global, multi-country standard.; National:  'Governments' explicitly refer to national-level authorities responsible for implementing policies and regulations.; Local / Site-specific:  'We market our breast-milk substitutes' refers to the company's operational activities, which occur in specific local markets and sites where products are sold and marketing campaigns executed.",Causal Chain,[Transnational -> National -> Local / Site-specific] The company's local marketing of breast-milk substitutes adheres to principles from a transnational code that are implemented by national governments.,Yes,Local / Site-specific
Nestle_Annual_Report_2014_page_22.pdf,"We firmly believe that breastfeeding is best for babies and fully support the World Health Organization’s recommendation on breastfeeding. We also provide a conducive environment for our employees to breastfeed, such as through flexible work arrangements.",Yes,0.8,"Local / Site-specific, Transnational / Cross-border","Local / Site-specific: The organization's workplace policies providing 'a conducive environment for our employees to breastfeed' and 'flexible work arrangements' represent local, site-specific actions.; Transnational / Cross-border: The World Health Organization (WHO) is a global transnational entity that issues recommendations affecting multiple countries.",Direct Causal Link,"[Transnational -> Local] The WHO's transnational recommendation on breastfeeding directly influences and shapes the local workplace policies of this organization, which explicitly states they 'fully support the World Health Organization's recommendation on breastfeeding' and implement specific local practices as a result.",No,1.0,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,No,1.0,N/A,N/A,N/A,N/A,Yes,N/A
Nestle_Annual_Report_2014_page_26.pdf,"In the Nestlé in society report we detail our progress towards meeting our 38 Creating Shared Value commitments (including three new ones for 2014). These commitments, which we introduced in 2013, make it possible for stakeholders to hold us accountable, while at the same time encouraging our management, and all our employees, to achieve continuous improvement. Creating Shared Value requires compliance with the highest standards of business practice, including international codes and standards as well as our own.",No,0.95,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"Transnational / Cross-border, National, Local / Site-specific","Transnational / Cross-border: The 'Creating Shared Value commitments' are Nestlé's overarching corporate policies, applicable globally across its multinational operations.; National: Nestlé's 'management' and 'employees' are organized and operate within different countries, representing the national scale of implementation.; Local / Site-specific: Nestlé's 'management' and 'employees' work at specific local facilities, factories, or offices, representing the site-specific scale of operations.",Direct Causal Link,[Transnational -> National/Local] Transnational corporate commitments directly encourage management and employees operating at National and Local levels to achieve continuous improvement.,Yes,N/A
Nestle_Annual_Report_2014_page_26.pdf,"In 2014, we renewed a long-standing collaboration with the International Federation of Red Cross and Red Crescent Societies, with a particular focus on improving rural communities’ access to water.",No,0.8,N/A,N/A,N/A,N/A,No,0.9,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"Transnational / Cross-border, Local / Site-specific","Transnational / Cross-border: The 'International Federation of Red Cross and Red Crescent Societies' clearly represents an organization operating across multiple countries.; Local / Site-specific: 'rural communities' refers to specific, localized groups of people within particular geographical areas.",Direct Causal Link,[Transnational -> Local] The renewed collaboration involving the Transnational International Federation of Red Cross and Red Crescent Societies directly focuses on improving water access for Local rural communities.,Yes,N/A
Nestle_Annual_Report_2014_page_26.pdf,"The 2014 Nestlé Creating Shared Value prize was awarded to Honey Care Africa, an East African fair trade honey company, which works with farmers in South Sudan.",No,0.9,N/A,N/A,N/A,N/A,No,1.0,N/A,N/A,N/A,N/A,No,0.0,N/A,N/A,N/A,N/A,Yes,0.9,"Transnational / Cross-border, Local / Site-specific","Transnational / Cross-border: Honey Care Africa is described as an 'East African fair trade honey company,' implying its operations span multiple countries within the East African region.; Local / Site-specific: The 'farmers in South Sudan' refers to individuals or groups operating at specific agricultural sites or communities, which are inherently local units.",Direct Causal Link,"[Transnational / Cross-border -> Local / Site-specific] Honey Care Africa, an East African company operating at a transnational scale, directly works with farmers at local, site-specific levels in South Sudan.",Yes,N/A
