Source,Full Paragraph Text,claude3.7: Interaction Present,claude3.7: Confidence,claude3.7: Entities Summary,claude3.7: Relationship Type,claude3.7: Relationship Summary,claude3.7: Scales Crossed,claude3.7: Scale Chains,4o: Interaction Present,4o: Confidence,4o: Entities Summary,4o: Relationship Type,4o: Relationship Summary,4o: Scales Crossed,4o: Scale Chains,o4_mini: Interaction Present,o4_mini: Confidence,o4_mini: Entities Summary,o4_mini: Relationship Type,o4_mini: Relationship Summary,o4_mini: Scales Crossed,o4_mini: Scale Chains,gemini2.0: Interaction Present,gemini2.0: Confidence,gemini2.0: Entities Summary,gemini2.0: Relationship Type,gemini2.0: Relationship Summary,gemini2.0: Scales Crossed,gemini2.0: Scale Chains,Disagreement
Nestle_Annual_Report_2014_page_31.pdf,"By 2020, one billion people in the world will be over 60, in creasing the burden on society from obesity and chronic diseases. It is estimated global healthcare costs could rise to between USD 5–10 trillion by the end of the decade. At the same time scientific understanding of health, disease and the potential of nutrition is growing.",Yes,0.8,"[0] Aging global population (one billion people over 60) (H:Environmental and Societal|S:Transnational / Cross-border|T:Medium-Term) || [1] Healthcare systems facing increased costs (H:Environmental and Societal|S:Transnational / Cross-border|T:Medium-Term) || [2] Scientific understanding of health, disease and nutrition (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term)",Convergent Influence,"An aging global population and scientific advances in health knowledge both influence global healthcare systems and costs, with the aging population increasing burden while scientific understanding potentially offers solutions.",Hierarchical,0 -> 1: Environmental and Societal -> Environmental and Societal || 2 -> 1: Inter-Organizational / Sector -> Environmental and Societal,Yes,0.85,"[0] One billion people over 60 (H:Individual|S:Transnational / Cross-border|T:Short-Term) || [1] Burden on society from obesity and chronic diseases (H:Environmental and Societal|S:Transnational / Cross-border|T:Short-Term) || [2] Global healthcare costs (H:Environmental and Societal|S:Transnational / Cross-border|T:Medium-Term) || [3] Scientific understanding of health, disease, and nutrition (H:Environmental and Societal|S:Transnational / Cross-border|T:Short-Term)",Convergent Influence,"Individual -> Environmental and Societal, Environmental and Societal -> Environmental and Societal",Hierarchical,0 -> 1: Individual -> Environmental and Societal || 1 -> 2: Short-Term -> Medium-Term,Yes,0.85,[0] One billion people over 60 (H:Individual|S:Global|T:Long-Term) || [1] Global healthcare costs (H:Environmental and Societal|S:Global|T:Long-Term) || [2] Scientific understanding of health and nutrition (H:Environmental and Societal|S:Global|T:Long-Term),Causal Chain,Individual -> Environmental and Societal -> Long-Term,"Hierarchical, Temporal, Spatial",0 -> 1: Individual -> Environmental and Societal -> Long-Term || 1 -> 2: Environmental and Societal -> Environmental and Societal -> Long-Term,Yes,0.9,[0] One billion people in the world will be over 60 (H:Inter-Organizational|S:Transnational|T:Short-Term) || [1] Society (H:Environmental and Societal|S:N/A|T:Long-Term) || [2] Global healthcare costs (H:Organizational|S:National|T:Long-Term),Causal Chain,"Demographic shift increases societal burden, leading to rising healthcare costs.","Hierarchical, Temporal, Spatial",1 -> 2: Inter-Organizational -> Environmental and Societal -> Long-Term || 2 -> 3: Environmental and Societal -> Organizational -> National,No
Nestle_Annual_Report_2014_page_31.pdf,"Nestlé Health Science aims to champion the role of nutritional therapies that have proven clinical and health economic value, and improve the quality of people’s lives. The company focuses on three areas: Consumer Care, which aims to address specific health conditions with an emphasis on enhancing ‘healthy ageing’; Medical Nutrition, which supplies hospitals and other healthcare facilities; and Novel Therapeutic nutrition, which works on new nutritional therapies (including pre scribed medicines) for specific diseases and conditions that would be administered by a health professional.",Yes,0.8,[0] Nestlé Health Science (company) (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [1] People with specific health conditions (consumers) (H:Individual|S:Transnational / Cross-border|T:Long-Term) || [2] Hospitals and healthcare facilities (H:Organizational|S:Local / Site-specific|T:Medium-Term) || [3] Health professionals administering nutritional therapies (H:Individual|S:Local / Site-specific|T:Short-Term),Convergent Influence,"Nestlé Health Science influences the health outcomes of individuals through multiple pathways: directly through consumer care products, through medical nutrition supplied to healthcare facilities, and through novel therapeutic nutrition administered by health professionals.","Hierarchical, Temporal",0 -> 1: Organizational -> Individual -> Long-Term || 0 -> 2: Transnational -> Local || 0 -> 3: Organizational -> Individual -> Local,Yes,0.85,[0] Nestlé Health Science (H:Organizational|S:N/A|T:Long-Term) || [1] Consumer Care (H:Organizational|S:N/A|T:Long-Term) || [2] Medical Nutrition (H:Organizational|S:N/A|T:Long-Term) || [3] Novel Therapeutic nutrition (H:Organizational|S:N/A|T:Long-Term) || [4] People's lives (H:Individual|S:N/A|T:Long-Term),Convergent Influence,"Nestlé Health Science's focus areas (Consumer Care, Medical Nutrition, Novel Therapeutic nutrition) converge to improve the quality of people's lives.",Hierarchical,1 -> 5: Organizational -> Individual -> Long-Term,Yes,0.9,[0] Nestlé Health Science (H:Organizational|S:N/A|T:N/A) || [1] Healthcare facilities (H:Inter-Organizational / Sector|S:N/A|T:N/A) || [2] Health professionals (H:Individual|S:N/A|T:N/A) || [3] People’s lives (H:Environmental and Societal|S:N/A|T:Long-Term),Causal Chain,"Nestlé Health Science influences healthcare facilities, which in turn influences health professionals, ultimately improving people’s lives.","Hierarchical, Temporal",0 -> 3: Organizational -> Environmental and Societal -> Long-Term,Yes,0.9,[0] Nestlé Health Science (H:Organizational|S:Transnational|T:Long-Term) || [1] People (H:Individual|S:N/A|T:Long-Term),Direct Causal Link,Organizational -> Individual,Hierarchical,0 -> 1: Organizational -> Individual,No
Nestle_Annual_Report_2014_page_31.pdf,"The Product Technology Centre in Konolfingen, Switzerland, develops and manufactures a range of products for Nestlé Health Science.",Yes,0.9,"[0] Product Technology Centre in Konolfingen, Switzerland (H:Organizational|S:Local / Site-specific|T:N/A) || [1] Nestlé Health Science (H:Organizational|S:Transnational / Cross-border|T:N/A)",Direct Causal Link,"The Product Technology Centre in Konolfingen develops and manufactures products for Nestlé Health Science, representing a direct causal link where one organizational entity provides products to another.",Spatial,0 -> 1: Local / Site-specific -> Transnational / Cross-border,No,0.9,N/A,N/A,N/A,N/A,N/A,Yes,0.9,[0] Product Technology Centre (H:Organizational|S:Local / Site-specific|T:N/A) || [1] Nestlé Health Science (H:Organizational|S:N/A|T:N/A),Direct Causal Link,The Product Technology Centre develops and manufactures products for Nestlé Health Science.,"Hierarchical, Spatial",0 -> 1: Organizational -> Organizational,Yes,0.9,"[0] Product Technology Centre in Konolfingen, Switzerland (H:Organizational|S:Local|T:N/A) || [1] Nestlé Health Science (H:Organizational|S:National|T:N/A)",Direct Causal Link,The Product Technology Centre develops and manufactures products for Nestlé Health Science.,Spatial,0 -> 1: Local -> National,Yes
Nestle_Annual_Report_2014_page_32.pdf,"Nestlé Health Science is supported in its work by the Nestlé Institute of Health Sciences (NIHS) which under takes fundamental scientific research into how nutrition can be used to empower people to improve and maintain their health. NIHS research teams are providing greater insight into how our environment, diet and lifestyle intersect with our genetic make-up, gut microorganisms, metabolism and nutritional status to determine our health.",Yes,0.85,[0] Nestlé Health Science (H:Organizational|S:Transnational / Cross-border|T:N/A) || [1] Nestlé Institute of Health Sciences (NIHS) (H:Organizational|S:Transnational / Cross-border|T:N/A) || [2] NIHS research teams (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [3] People/individuals (who improve and maintain health) (H:Individual|S:N/A|T:Medium-Term),Causal Chain,"NIHS conducts fundamental research that supports Nestlé Health Science, which in turn uses nutrition to empower individuals to improve their health.",,1 -> 0: Organizational -> Organizational || 0 -> 3: Organizational -> Individual -> Medium-Term || 2 -> 3: Organizational -> Individual,Yes,0.85,[0] Nestlé Health Science (H:Organizational|S:N/A|T:N/A) || [1] Nestlé Institute of Health Sciences (NIHS) (H:Organizational|S:N/A|T:N/A) || [2] People's health (H:Individual|S:N/A|T:N/A),Causal Chain,Organizational -> Organizational -> Individual,Hierarchical,0 -> 2: Organizational -> Individual,Yes,0.9,"[0] Nestlé Health Science (H:Organizational|S:N/A|T:N/A) || [1] Nestlé Institute of Health Sciences (NIHS) (H:Organizational|S:N/A|T:N/A) || [2] environment, diet and lifestyle (H:Environmental and Societal|S:N/A|T:N/A) || [3] genetic make-up, gut microorganisms, metabolism and nutritional status (H:Individual|S:N/A|T:N/A)",Causal Chain,Nestlé Institute of Health Sciences conducts research that influences how environmental and lifestyle factors affect individual health.,"Hierarchical, Environmental and Societal",1 -> 3: Organizational -> Environmental and Societal || 3 -> 4: Environmental and Societal -> Individual,Yes,0.9,[0] Nestlé Health Science (H:Organizational|S:Transnational|T:Long-Term) || [1] Nestlé Institute of Health Sciences (NIHS) (H:Organizational|S:Transnational|T:Long-Term) || [2] People (H:Individual|S:Transnational|T:Long-Term),Direct Causal Link,Organizational influences Individual,,1 -> 2: N/A || 2 -> 3: Organizational -> Individual,No
Nestle_Annual_Report_2014_page_32.pdf,"NIHS has established the first complete essential nutrient profiling platform for accurate analysis of nutrient status. Thanks to the development of digital applications that capture dietary intake, the institute can now combine the information about the nutritional content of diet with measurements in people’s blood. This research offers the prospect of developing personalised nutrition products, including dietary recommendations.",Yes,0.85,[0] NIHS (Nestlé Institute of Health Sciences) establishing nutrient profiling platform (H:Organizational|S:N/A|T:Medium-Term) || [1] Digital applications capturing dietary intake (H:Organizational|S:N/A|T:Short-Term) || [2] Individuals providing blood measurements and dietary information (H:Individual|S:N/A|T:Short-Term) || [3] Development of personalized nutrition products and dietary recommendations (H:Inter-Organizational / Sector|S:N/A|T:Long-Term),Causal Chain,"NIHS created a nutrient profiling platform that uses digital applications to collect dietary data from individuals, which combined with blood measurements enables the development of personalized nutrition products and recommendations.","Hierarchical, Temporal",0 -> 3: Organizational/Medium-Term -> Individual/Short-Term -> Inter-Organizational/Long-Term,Yes,0.9,[0] NIHS establishing nutrient profiling platform (H:Organizational|S:N/A|T:N/A) || [1] Development of digital applications (H:Organizational|S:N/A|T:Short-Term) || [2] Combination of dietary intake information with blood measurements (H:Individual|S:N/A|T:N/A) || [3] Development of personalised nutrition products (H:Organizational|S:N/A|T:Medium-Term),Causal Chain,Development of digital applications -> Combination of dietary intake information with blood measurements -> Development of personalised nutrition products,"Hierarchical, Temporal",1 -> 2: Organizational -> Individual -> N/A || 2 -> 3: Individual -> Organizational -> Medium-Term,Yes,0.85,[0] NIHS (H:Organizational|S:N/A|T:N/A) || [1] people’s blood measurements (H:Individual|S:N/A|T:N/A) || [2] personalised nutrition products (H:N/A|S:N/A|T:Long-Term),Direct Causal Link,NIHS's development of a nutrient profiling platform influences the creation of personalised nutrition products.,"Hierarchical, Temporal",0 -> 2: Organizational -> Long-Term,Yes,0.9,[0] NIHS (H:Organizational|S:National|T:Medium-Term) || [1] Digital applications (H:N/A|S:N/A|T:Short-Term) || [2] People (H:Individual|S:Local|T:Short-Term) || [3] Personalised nutrition products (H:N/A|S:N/A|T:Long-Term),Causal Chain,Organizational -> Short-Term -> Individual,,0 -> 1: N/A || 1 -> 2: N/A || 0 -> 3: N/A,No
Nestle_Annual_Report_2014_page_32.pdf,It has also built a natural products screening platform to discover compounds that may already exist in diets around the world and which can be used to improve metabolic and ageing health.,Yes,0.8,[0] Organization that built the screening platform (H:Organizational|S:N/A|T:N/A) || [1] Natural products screening platform (H:Organizational|S:N/A|T:N/A) || [2] Compounds in diets around the world (H:Environmental and Societal|S:Transnational/Cross-border|T:N/A) || [3] Metabolic and ageing health improvements (H:Individual|S:N/A|T:Long-Term),Causal Chain,An organization built a screening platform that identifies compounds from global diets that can improve individual health outcomes.,"Hierarchical, Spatial, Temporal",0 -> 3: Organizational -> Transnational/Cross-border -> Individual,No,0.8,N/A,N/A,N/A,N/A,N/A,Yes,0.8,[0] natural products screening platform (H:Organizational|S:N/A|T:N/A) || [1] compounds in diets (H:Environmental and Societal|S:Global|T:N/A) || [2] metabolic and ageing health (H:Individual|S:N/A|T:Long-Term),Causal Chain,Organizational -> Environmental and Societal -> Individual,"Hierarchical, Spatial",0 -> 1: Organizational -> Global || 1 -> 2: Global -> Individual -> Long-Term,Yes,0.9,[0] natural products screening platform (H:Organizational|S:N/A|T:Short-Term) || [1] compounds (H:N/A|S:N/A|T:N/A) || [2] metabolic and ageing health (H:Individual|S:N/A|T:Long-Term),Causal Chain,Organizational -> Individual -> Long-Term,"Hierarchical, Temporal",0 -> 2: Organizational -> Individual -> Long-Term,Yes
Nestle_Annual_Report_2014_page_32.pdf,"Nestlé’s Jian Xin Double Care, a specially designed milk to enhance heart and bone health for middle-aged and senior adults, was launched in China in December 2013. The product contains phytosterols, which lower LDL (‘bad’) cholesterol, as well as calcium and vitamin D. The brand raises awareness of heart health with in-store health checks and offers toll-free phone contact with doctors to discuss cardiovascular health.",Yes,0.85,"[0] Nestlé (company launching the product) (H:Organizational|S:Transnational|T:Medium-Term) || [1] Jian Xin Double Care product (milk with health benefits) (H:Organizational|S:National|T:Short-Term) || [2] Middle-aged and senior adults in China (consumers) (H:Individual|S:National|T:Medium-Term) || [3] Health awareness activities (in-store checks, doctor contact) (H:Organizational|S:Local|T:Short-Term)",Direct Causal Link,"Nestlé created a specialized health product (Jian Xin Double Care) targeting middle-aged and senior adults in China, and implemented local health awareness activities to support product adoption and consumer health.",Hierarchical,0 -> 2: Organizational/Transnational -> Individual/National || 1 -> 2: Organizational -> Individual || 3 -> 2: Organizational/Local -> Individual/National,Yes,0.85,[0] Nestlé’s Jian Xin Double Care product launch (H:Organizational|S:National|T:Short-Term) || [1] Middle-aged and senior adults in China (H:Individual|S:National|T:Long-Term) || [2] In-store health checks and toll-free phone contact with doctors (H:Organizational|S:Local|T:Short-Term),Causal Chain,Organizational -> Individual -> Organizational,"Hierarchical, Temporal",0 -> 1: Organizational -> Individual -> Long-Term || 1 -> 2: Individual -> Organizational -> Local,Yes,0.9,[0] Nestlé’s Jian Xin Double Care product (H:Organizational|S:National|T:Long-Term) || [1] Middle-aged and senior adults (H:Individual|S:N/A|T:N/A) || [2] Health checks and doctor consultations (H:Organizational|S:Local / Site-specific|T:Short-Term),Causal Chain,Organizational initiatives by Nestlé influence individual health outcomes for middle-aged and senior adults through health checks and consultations.,"Hierarchical, Spatial",1 -> 2: Organizational -> Individual || 1 -> 3: Organizational -> Local -> Short-Term,Yes,0.9,[0] Nestlé (H:Organizational|S:National|T:Long-Term) || [1] Chinese Consumers (middle-aged and senior adults) (H:Individual|S:National|T:Short-Term),Direct Causal Link,Nestlé influences Chinese consumers through product launch and health awareness campaigns.,"Hierarchical, Temporal",0 -> 1: Organizational -> Individual -> Short-Term,No
Nestle_Annual_Report_2014_page_32.pdf,"Nestlé Fitness biscuits are wholegrain cereal-based snacks low in fat and calories. After just three years, Nestlé Fitness biscuits hold the number one position in Brazil’s healthy biscuit segment. The biscuits are sold across South America and in Israel.",Yes,0.8,[0] Nestlé Fitness biscuits (product) (H:Organizational|S:Transnational|T:Medium-Term) || [1] Brazil's healthy biscuit market segment (H:Inter-Organizational / Sector|S:National|T:Medium-Term) || [2] South American and Israeli markets (H:Inter-Organizational / Sector|S:Transnational|T:N/A),Direct Causal Link,Nestlé Fitness biscuits achieved market leadership in Brazil's healthy biscuit segment within three years and expanded to multiple countries in South America and Israel.,"Hierarchical, Spatial",0 -> 1: Organizational -> National -> Inter-Organizational || 0 -> 2: Organizational -> Inter-Organizational,Yes,0.8,[0] Nestlé Fitness biscuits (H:Organizational|S:National|T:Short-Term) || [1] Brazil’s healthy biscuit segment (H:Environmental and Societal|S:National|T:Short-Term) || [2] South America and Israel markets (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term),Causal Chain,Organizational -> Environmental and Societal -> Inter-Organizational / Sector,Hierarchical,0 -> 1: Organizational -> Environmental and Societal || 1 -> 2: National -> Transnational / Cross-border -> Medium-Term,Yes,0.9,[0] Nestlé Fitness biscuits (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [1] Brazil’s healthy biscuit segment (H:Organizational|S:National|T:Medium-Term),Direct Causal Link,Nestlé Fitness biscuits' success in Brazil's healthy biscuit segment.,"Hierarchical, Spatial",0 -> 1: Transnational / Cross-border -> National,Yes,0.9,[0] Nestlé Fitness biscuits (H:Organizational|S:Regional|T:Medium-Term) || [1] Consumers in Brazil (H:Inter-Organizational|S:Local|T:Short-Term),Direct Causal Link,Organizational -> Inter-Organizational,"Hierarchical, Spatial, Temporal",0 -> 1: Organizational -> Local -> Short-Term,No
Nestle_Annual_Report_2014_page_33.pdf,"In 2014, we transformed a dairy factory in Mexico into the company’s first ‘zero water’ manufacturing site in the world. Cow’s milk is 88% water, so by extracting some of it to use in the factory’s systems, we are saving enough water to meet the average daily consumption of 6400 people in the surrounding area.",Yes,0.9,[0] Company transforming dairy factory (H:Organizational|S:Local / Site-specific|T:Short-Term) || [1] Zero water manufacturing process (extracting water from milk) (H:Organizational|S:Local / Site-specific|T:Medium-Term) || [2] Local community water consumption (H:Inter-Organizational / Sector|S:Local / Site-specific|T:Medium-Term),Direct Causal Link,"The company's transformation of a dairy factory to extract water from milk directly impacts water availability for the surrounding community, equivalent to the daily consumption of 6400 people.","Hierarchical, Temporal",0 -> 2: Organizational -> Inter-Organizational / Sector -> Medium-Term,Yes,0.9,[0] Dairy factory in Mexico (H:Organizational|S:Local / Site-specific|T:Short-Term) || [1] Company's first 'zero water' manufacturing site (H:Organizational|S:Local / Site-specific|T:Short-Term) || [2] Average daily water consumption of 6400 people in the surrounding area (H:Environmental and Societal|S:Local / Site-specific|T:Short-Term),Causal Chain,Dairy factory transformation -> Zero water manufacturing -> Water savings for local population,Hierarchical,0 -> 2: Organizational -> Environmental and Societal,Yes,0.9,[0] Dairy factory in Mexico (H:Organizational|S:Local|T:Short-Term) || [1] Surrounding area population (H:Individual|S:Local|T:Short-Term),Direct Causal Link,"The dairy factory's transformation into a 'zero water' site directly saves water, benefiting the surrounding area's population.","Hierarchical, Spatial",0 -> 1: Organizational -> Individual -> Local,Yes,0.9,[0] Dairy factory in Mexico (H:Organizational|S:Local|T:Medium-Term) || [1] Company (implementing zero water factory) (H:Organizational|S:National|T:Medium-Term) || [2] 6400 people in the surrounding area (H:Individual|S:Local|T:Medium-Term),Causal Chain,Organizational -> Individual,"Hierarchical, Spatial",2 -> 3: Organizational -> Local -> Individual,No
Nestle_Annual_Report_2014_page_33.pdf,"The new technology used at the factory in Jalisco, Mexico, heats milk at low pressure to remove some of the water. The resulting steam is then condensed and treated and used to clean machines. It is then recycled and used again. The process reduces by 15% the total amount of water used by Nestlé Mexico. Work is now underway to deploy similar tech nology in five other manufacturing sites in water stressed are as around the world. It is just one of a number of water-saving initiatives we have introduced in recent years, allowing us to reduce total water withdrawal in absolute terms by almost one third in the last decade.",Yes,0.9,[0] Factory in Jalisco using new water-saving technology (H:Organizational|S:Local / Site-specific|T:Short-Term) || [1] Nestlé Mexico implementing water reduction process (H:Organizational|S:National|T:Medium-Term) || [2] Nestlé global deploying technology to other manufacturing sites (H:Organizational|S:Transnational / Cross-border|T:Medium-Term) || [3] Nestlé's decade-long water reduction initiatives (H:Organizational|S:Transnational / Cross-border|T:Long-Term),Causal Chain,"A local factory technology implementation in Jalisco leads to national-level water reduction for Nestlé Mexico, which then influences transnational deployment of similar technology, contributing to Nestlé's long-term global water reduction achievements.",Spatial,0 -> 1: Local -> National || 1 -> 2: National -> Transnational || 2 -> 3: Medium-Term -> Long-Term,Yes,0.9,"[0] New technology at the factory in Jalisco, Mexico (H:Organizational|S:Local / Site-specific|T:Short-Term) || [1] Reduction of water usage by Nestlé Mexico (H:Organizational|S:National|T:Short-Term) || [2] Deployment of technology in other manufacturing sites worldwide (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term) || [3] Reduction of total water withdrawal globally (H:Environmental and Societal|S:Transnational / Cross-border|T:Long-Term)",Causal Chain,New technology at the factory -> Reduction of water usage by Nestlé Mexico -> Deployment of technology in other sites -> Reduction of total water withdrawal globally,Spatial,0 -> 1: Local / Site-specific -> National || 1 -> 2: Organizational -> Transnational / Cross-border -> Medium-Term || 2 -> 3: Inter-Organizational / Sector -> Long-Term,Yes,0.9,"[0] New technology used at the factory in Jalisco, Mexico (H:Organizational|S:Local|T:Short-Term) || [1] Nestlé Mexico (H:Organizational|S:National|T:Long-Term) || [2] Five other manufacturing sites in water stressed areas around the world (H:Inter-Organizational / Sector|S:Transnational / Cross-border|T:Medium-Term)",Causal Chain,"New technology at the factory reduces water usage, influencing Nestlé Mexico's overall water withdrawal reduction.","Hierarchical, Temporal, Spatial",0 -> 1: Organizational -> National -> Long-Term || 1 -> 2: National -> Transnational -> Medium-Term,Yes,0.9,"[0] Factory in Jalisco, Mexico (Nestlé Mexico) (H:Organizational|S:Local|T:Short-Term) || [1] Nestlé Mexico (H:Organizational|S:National|T:Medium-Term) || [2] Nestlé (Global) (H:Organizational|S:Transnational|T:Long-Term) || [3] Ecosystems (H:Environmental and Societal|S:National|T:Long-Term)",Causal Chain,Organizational -> Organizational -> Environmental and Societal,"Hierarchical, Spatial, Temporal",1 -> 4: Organizational -> National -> Long-Term,No
Nestle_Annual_Report_2014_page_33.pdf,"Today our people are carrying out 170 water-saving projects in Nestlé factories, which will save around 3.6 million cubic metres of water.",Yes,0.9,[0] Nestlé people/employees carrying out water-saving projects (H:Individual|S:Local / Site-specific|T:Short-Term) || [1] Nestlé factories where projects are implemented (H:Organizational|S:Local / Site-specific|T:Short-Term) || [2] Water resources being saved (3.6 million cubic metres) (H:Environmental and Societal|S:Local / Site-specific|T:Medium-Term),Causal Chain,"Nestlé employees implement water-saving projects in factories, which results in significant water resource conservation at an environmental level.","Hierarchical, Temporal",0 -> 2: Individual -> Organizational -> Environmental and Societal,Yes,0.9,[0] People carrying out water-saving projects (H:Individual|S:Local / Site-specific|T:Short-Term) || [1] Nestlé factories (H:Organizational|S:Local / Site-specific|T:Short-Term) || [2] Water saved (3.6 million cubic metres) (H:Environmental and Societal|S:N/A|T:Short-Term),Causal Chain,Individual -> Organizational -> Environmental and Societal,Hierarchical,0 -> 2: Individual -> Environmental and Societal,Yes,0.9,[0] Nestlé factories implementing water-saving projects (H:Organizational|S:Local / Site-specific|T:Short-Term) || [1] People involved in the projects (H:Individual|S:N/A|T:Short-Term) || [2] Water saved from the projects (H:Environmental and Societal|S:N/A|T:Short-Term),Direct Causal Link,People are carrying out projects in Nestlé factories that save water.,"Hierarchical, Temporal",1 -> 3: Organizational -> Environmental and Societal -> Short-Term,Yes,0.9,[0] Nestlé factories (H:Organizational|S:N/A|T:N/A) || [1] Our people (employees of Nestle) (H:Individual|S:N/A|T:Short-Term) || [2] 170 water-saving projects (H:N/A|S:N/A|T:Short-Term) || [3] 3.6 million cubic metres of water saved (H:Environmental and Societal|S:National|T:Long-Term),Causal Chain,Individual -> Organizational -> Environmental and Societal,Hierarchical,1 -> 0: Individual -> Organizational || 0 -> 3: Organizational -> National -> Long-Term || 2 -> 3: Short-Term -> National -> Long-Term,No
Nestle_Annual_Report_2014_page_33.pdf,"In March 2014, we opened the Nestlé Food Safety Institute in Beijing, China. The new centre has three objectives: to collaborate with Chinese universities, research institutes and regulatory authorities in food safety research; to increase our ability to assess risks, anticipate problems and provide accurate information in any food safety situations; and to engage on scientific communication and food safety training.",Yes,0.9,"[0] Nestlé (opening the Food Safety Institute) (H:Organizational|S:Local / Site-specific|T:Short-Term) || [1] Chinese universities, research institutes and regulatory authorities (H:Inter-Organizational / Sector|S:National|T:Medium-Term) || [2] Food safety research, risk assessment, and training activities (H:Environmental and Societal|S:National|T:Long-Term)",Direct Causal Link,"Nestlé established the Food Safety Institute to collaborate with Chinese institutions, which in turn is intended to improve broader food safety outcomes and capabilities at a societal level.","Hierarchical, Temporal",0 -> 2: Organizational -> Inter-Organizational -> Environmental and Societal,Yes,0.9,"[0] Nestlé Food Safety Institute (H:Organizational|S:Local / Site-specific|T:Long-Term) || [1] Chinese universities, research institutes and regulatory authorities (H:Inter-Organizational / Sector|S:National|T:Long-Term)",Convergent Influence,"The Nestlé Food Safety Institute collaborates with Chinese universities, research institutes, and regulatory authorities to enhance food safety research and communication.","Hierarchical, Spatial",0 -> 1: Organizational -> National -> Long-Term,Yes,0.9,"[0] Nestlé Food Safety Institute (H:Organizational|S:Local / Site-specific|T:Short-Term) || [1] Chinese universities, research institutes and regulatory authorities (H:Inter-Organizational / Sector|S:Local / Site-specific|T:Short-Term)",Causal Chain,The Nestlé Food Safety Institute collaborates with Chinese universities and regulatory authorities to enhance food safety research.,"Hierarchical, Spatial",0 -> 1: Organizational -> Inter-Organizational / Sector -> Local / Site-specific,Yes,0.9,"[0] Nestlé (H:Organizational|S:Transnational|T:Medium-Term) || [1] Chinese universities, research institutes and regulatory authorities (H:Inter-Organizational|S:National|T:Medium-Term) || [2] Food safety situations in China (H:Environmental and Societal|S:National|T:Short-Term)",Causal Chain,Organizational -> Inter-Organizational -> Environmental and Societal,"Hierarchical, Spatial",0 -> 1: Organizational -> Inter-Organizational -> National || 1 -> 2: Inter-Organizational -> Environmental and Societal -> Short-Term,No
Nestle_Annual_Report_2014_page_33.pdf,"A researcher at the zero water factory in Jalisco, Mexico, does a quality check. The water resource savings at the factory are equivalent to the volume needed per day to fill an Olympic size swimming pool.",No,0.9,N/A,N/A,N/A,N/A,N/A,Yes,0.8,[0] Researcher at the zero water factory (H:Individual|S:Local / Site-specific|T:Short-Term) || [1] Zero water factory (H:Organizational|S:Local / Site-specific|T:Short-Term) || [2] Water resource savings (H:Environmental and Societal|S:Local / Site-specific|T:Short-Term),Causal Chain,Individual -> Organizational -> Environmental and Societal,Hierarchical,0 -> 2: Individual -> Environmental and Societal,Yes,0.9,[0] Researcher at the zero water factory (H:Individual|S:Local / Site-specific|T:Short-Term) || [1] Water resource savings at the factory (H:Organizational|S:Local / Site-specific|T:Short-Term) || [2] Volume needed to fill an Olympic size swimming pool (H:N/A|S:N/A|T:N/A),Direct Causal Link,The quality check by the researcher leads to the identification of water resource savings at the factory.,"Hierarchical, Spatial, Temporal",0 -> 1: Individual -> Organizational -> Short-Term,Yes,0.9,[0] Researcher at the zero water factory (H:Individual|S:Local|T:Short-Term) || [1] Zero water factory (H:Organizational|S:Local|T:Short-Term) || [2] Water resource savings at the factory (H:Environmental and Societal|S:National|T:Long-Term),Causal Chain,Organizational -> Environmental and Societal,Hierarchical,1 -> 2: Individual -> Organizational || 2 -> 3: Organizational -> National -> Long-Term,Yes
